,Subzone,School,College,Medical,Recreation,Transport,Shop,Food,lscore,Density
185,SEMBAWANG NORTH,0.2708333333333333,0.23170731707317074,0.12037037037037036,0.2231404958677686,0.23529411764705882,0.3010204081632653,0.1975806451612903,28.794199428112393,18187.59142876278
186,GEYLANG BAHRU,0.3125,0.15853658536585366,0.18518518518518517,0.256198347107438,0.24183006535947713,0.18877551020408162,0.29838709677419356,29.91440634640276,15233.90563425752
187,MATILDA,0.14583333333333334,0.14634146341463414,0.08333333333333333,0.10743801652892562,0.10457516339869281,0.22448979591836735,0.15725806451612903,17.664728824095285,38898.639158634694
188,TOA PAYOH CENTRAL,0.5833333333333334,0.47560975609756095,0.42592592592592593,0.32231404958677684,0.46405228758169936,0.41836734693877553,0.5362903225806451,58.79122867788338,25136.3269487025
189,PEOPLE'S PARK,0.5208333333333334,0.4634146341463415,0.4444444444444444,0.8842975206611571,0.7712418300653595,0.6377551020408163,1.0,86.05722746505523,3092.755104843849
190,VICTORIA,0.125,0.13414634146341464,0.10185185185185185,0.19834710743801653,0.13725490196078433,0.15816326530612246,0.23387096774193547,19.840135932016178,8159.755933745802
191,LIU FANG,0.041666666666666664,0.036585365853658534,0.0,0.06611570247933884,0.0196078431372549,0.01020408163265306,0.016129032258064516,3.468336288874791,4.246925804096777
192,KIM KEAT,0.4791666666666667,0.3902439024390244,0.25925925925925924,0.33884297520661155,0.2679738562091503,0.17346938775510204,0.2782258064516129,39.86093390548563,21382.91725209617
193,SENOKO NORTH,0.0,0.024390243902439025,0.018518518518518517,0.15702479338842976,0.0457516339869281,0.030612244897959183,0.05241935483870968,5.990795048573512,4.431696725784207
194,SENJA,0.4583333333333333,0.23170731707317074,0.28703703703703703,0.2892561983471074,0.38562091503267976,0.32653061224489793,0.2056451612903226,39.805324969542724,32062.545959835108
195,YUNNAN,0.16666666666666666,0.18292682926829268,0.2222222222222222,0.24793388429752067,0.23529411764705882,0.2193877551020408,0.15725806451612903,26.092243775665192,30389.732313377957
196,LEONIE HILL,0.4791666666666667,0.36585365853658536,0.75,0.5785123966942148,0.5555555555555556,1.0,0.3185483870967742,73.76733547093848,8410.52349641305
197,RIVERVALE,0.3333333333333333,0.2682926829268293,0.16666666666666666,0.2727272727272727,0.32679738562091504,0.2193877551020408,0.125,31.204581390841163,37794.51327666452
198,SENOKO WEST,0.0,0.024390243902439025,0.018518518518518517,0.15702479338842976,0.0457516339869281,0.030612244897959183,0.05241935483870968,5.990795048573512,21.9293829743258
199,BUGIS,0.9375,0.7073170731707317,0.5462962962962963,0.628099173553719,0.9803921568627451,0.7551020408163265,0.8588709677419355,98.66132659934163,3155.3456480894283
200,LAVENDER,0.2916666666666667,0.18292682926829268,0.39814814814814814,0.48760330578512395,0.7254901960784313,0.4030612244897959,0.5161290322580645,54.765962301093715,12699.702192646231
201,KEBUN BAHRU,0.041666666666666664,0.06097560975609756,0.027777777777777776,0.09090909090909091,0.0718954248366013,0.025510204081632654,0.06048387096774194,6.9111808496124585,21472.07688579387
202,BENOI SECTOR,0.020833333333333332,0.04878048780487805,0.037037037037037035,0.008264462809917356,0.0196078431372549,0.01020408163265306,0.03225806451612903,3.2255204303660223,4.862943702261615
203,TELOK BLANGAH WAY,0.4583333333333333,0.4878048780487805,0.14814814814814814,0.256198347107438,0.27450980392156865,0.20408163265306123,0.24596774193548387,37.81724277113291,33119.16363024682
204,PASIR PANJANG 2,0.0625,0.07317073170731707,0.027777777777777776,0.1322314049586777,0.1111111111111111,0.09183673469387756,0.20161290322580644,12.76174029782052,3562.485940667697
205,GHIM MOH,0.3541666666666667,0.32926829268292684,0.25925925925925924,0.256198347107438,0.20261437908496732,0.41836734693877553,0.47580645161290325,41.8383035740994,28363.00434388409
206,JELEBU,0.20833333333333334,0.18292682926829268,0.3611111111111111,0.2975206611570248,0.40522875816993464,0.39285714285714285,0.2540322580645161,38.30869631224494,34131.25471438624
207,PASIR RIS PARK,0.08333333333333333,0.12195121951219512,0.12962962962962962,0.45454545454545453,0.3137254901960784,0.32653061224489793,0.2620967741935484,30.83293081658338,4401.384754386471
208,KATONG,0.4375,0.2804878048780488,0.3055555555555556,0.4380165289256198,0.39215686274509803,0.40816326530612246,0.5,50.33468827851388,8616.763426900723
209,LORONG 8 TOA PAYOH,0.3333333333333333,0.25609756097560976,0.28703703703703703,0.2809917355371901,0.29411764705882354,0.21428571428571427,0.33064516129032256,36.38594606984905,16176.899693125457
210,SHANGRI-LA,0.4166666666666667,0.2804878048780488,0.6759259259259259,0.5041322314049587,0.48366013071895425,0.6377551020408163,0.4475806451612903,62.806432516577416,23044.8978138207
211,PIONEER SECTOR,0.1875,0.23170731707317074,0.26851851851851855,0.35537190082644626,0.22875816993464052,0.336734693877551,0.21774193548387097,33.28453021079248,0.0
212,JURONG GATEWAY,0.22916666666666666,0.32926829268292684,0.3148148148148148,0.36363636363636365,0.2875816993464052,0.6071428571428571,0.3548387096774194,45.31502269470206,805.937239155991
213,ANSON,0.3958333333333333,0.7073170731707317,0.46296296296296297,0.7851239669421488,0.6993464052287581,0.46938775510204084,0.8225806451612904,79.14210864262522,769.7224498547229
214,SWISS CLUB,0.1875,0.012195121951219513,0.037037037037037035,0.2231404958677686,0.0,0.025510204081632654,0.14919354838709678,11.565022901153775,1529.9210655217205
215,FLORA DRIVE,0.3541666666666667,0.32926829268292684,0.10185185185185185,0.2644628099173554,0.2222222222222222,0.18877551020408162,0.09274193548387097,28.31201884743682,15430.628253013254
216,TUKANG,0.041666666666666664,0.024390243902439025,0.0,0.06611570247933884,0.0196078431372549,0.02040816326530612,0.028225806451612902,3.6525111846762983,5.2799354526415305
217,SUNGEI ROAD,0.75,0.5121951219512195,0.5185185185185185,0.4628099173553719,1.0,0.7551020408163265,0.9717741935483871,90.58450134775896,17504.436893236758
218,TOH GUAN,0.3541666666666667,0.6219512195121951,0.49074074074074076,0.38016528925619836,0.33986928104575165,0.6224489795918368,0.6008064516129032,62.149248741144824,19403.95379770721
219,FORT CANNING,0.7291666666666666,0.5975609756097561,0.3148148148148148,0.628099173553719,0.7450980392156863,0.7142857142857143,0.8709677419354839,83.83391697867046,490.08761485151126
220,PASIR PANJANG 1,0.0625,0.07317073170731707,0.027777777777777776,0.1322314049586777,0.1111111111111111,0.09183673469387756,0.20161290322580644,12.76174029782052,4129.677286346239
221,MALCOLM,0.22916666666666666,0.3170731707317073,0.027777777777777776,0.21487603305785125,0.1111111111111111,0.025510204081632654,0.08870967741935484,18.48403291220509,2218.072082002121
222,PENJURU CRESCENT,0.10416666666666667,0.04878048780487805,0.009259259259259259,0.04132231404958678,0.0196078431372549,0.030612244897959183,0.024193548387096774,5.065441718447061,3.2570700573160676
